review_id,product,rating,review_text
1,Fitness Tracker,2,Exceeded my expectations!
2,Fitness Tracker,4,Good value for money.
3,Fitness Tracker,1,Battery life could be better.
4,Wireless Earbuds,5,"Average product, expected better."
5,Smartphone Case,4,"Five stars, very happy with this purchase."
6,Mechanical Keyboard,4,"Five stars, very happy with this purchase."
7,Smartphone Case,2,Works as advertised.
8,Fitness Tracker,2,Battery life could be better.
9,Gaming Mouse,5,"Amazing performance, highly recommend."
10,Wireless Earbuds,1,Would not buy again.
11,Fitness Tracker,1,"Average product, expected better."
12,Smartwatch,1,Good value for money.
13,Portable Charger,5,Would not buy again.
14,Mechanical Keyboard,4,Battery life could be better.
15,Gaming Mouse,1,"Amazing performance, highly recommend."
16,Gaming Mouse,1,Exceeded my expectations!
17,Smartwatch,2,"Average product, expected better."
18,Fitness Tracker,2,"Average product, expected better."
19,Gaming Mouse,4,"Average product, expected better."
20,Smartwatch,5,"Five stars, very happy with this purchase."
21,Mechanical Keyboard,1,"Five stars, very happy with this purchase."
22,Bluetooth Speaker,4,Not satisfied with the build quality.
23,Bluetooth Speaker,3,Exceeded my expectations!
24,Portable Charger,3,Excellent quality and fast delivery.
25,Mechanical Keyboard,2,Not satisfied with the build quality.
26,Laptop Stand,4,Would not buy again.
27,Wireless Earbuds,3,Battery life could be better.
28,Mechanical Keyboard,3,Good value for money.
29,Laptop Stand,5,"Five stars, very happy with this purchase."
30,Smartphone Case,2,Exceeded my expectations!
31,Wireless Earbuds,3,Battery life could be better.
32,Fitness Tracker,1,"Amazing performance, highly recommend."
33,LED Monitor,2,Works as advertised.
34,Gaming Mouse,3,Works as advertised.
35,Wireless Earbuds,3,Would not buy again.
36,Gaming Mouse,1,"Amazing performance, highly recommend."
37,Wireless Earbuds,3,Works as advertised.
38,Fitness Tracker,5,"Amazing performance, highly recommend."
39,Smartphone Case,5,Good value for money.
40,Laptop Stand,4,Not satisfied with the build quality.
41,Fitness Tracker,2,"Amazing performance, highly recommend."
42,Wireless Earbuds,5,"Amazing performance, highly recommend."
43,Bluetooth Speaker,4,Works as advertised.
44,Smartphone Case,5,Not satisfied with the build quality.
45,Bluetooth Speaker,4,Excellent quality and fast delivery.
46,Wireless Earbuds,5,Not satisfied with the build quality.
47,Smartwatch,2,Battery life could be better.
48,Fitness Tracker,5,Not satisfied with the build quality.
49,Fitness Tracker,4,"Average product, expected better."
50,Gaming Mouse,3,Not satisfied with the build quality.
51,Smartwatch,2,Would not buy again.
52,Smartphone Case,4,Good value for money.
53,LED Monitor,4,"Amazing performance, highly recommend."
54,Laptop Stand,2,Excellent quality and fast delivery.
55,Bluetooth Speaker,2,Excellent quality and fast delivery.
56,Mechanical Keyboard,5,"Average product, expected better."
57,Gaming Mouse,3,Not satisfied with the build quality.
58,Laptop Stand,5,Exceeded my expectations!
59,Fitness Tracker,5,"Average product, expected better."
60,Bluetooth Speaker,1,Would not buy again.
61,Mechanical Keyboard,1,Battery life could be better.
62,Gaming Mouse,5,Excellent quality and fast delivery.
63,Bluetooth Speaker,5,"Average product, expected better."
64,Mechanical Keyboard,2,Works as advertised.
65,Portable Charger,1,Excellent quality and fast delivery.
66,Smartphone Case,3,"Amazing performance, highly recommend."
67,Bluetooth Speaker,5,Excellent quality and fast delivery.
68,Smartwatch,2,"Amazing performance, highly recommend."
69,Gaming Mouse,4,"Average product, expected better."
70,LED Monitor,1,"Average product, expected better."
71,Fitness Tracker,3,Battery life could be better.
72,LED Monitor,2,Battery life could be better.
73,Gaming Mouse,4,Not satisfied with the build quality.
74,Gaming Mouse,4,Battery life could be better.
75,Portable Charger,3,Excellent quality and fast delivery.
76,Smartwatch,3,"Average product, expected better."
77,Portable Charger,4,"Amazing performance, highly recommend."
78,Laptop Stand,1,Exceeded my expectations!
79,Mechanical Keyboard,3,Good value for money.
80,Fitness Tracker,1,"Average product, expected better."
81,Portable Charger,2,Excellent quality and fast delivery.
82,LED Monitor,3,Works as advertised.
83,LED Monitor,2,Battery life could be better.
84,Mechanical Keyboard,1,Works as advertised.
85,Wireless Earbuds,3,"Five stars, very happy with this purchase."
86,Smartwatch,2,Would not buy again.
87,Smartwatch,2,Works as advertised.
88,Gaming Mouse,3,Works as advertised.
89,LED Monitor,2,Excellent quality and fast delivery.
90,Wireless Earbuds,1,Not satisfied with the build quality.
91,Wireless Earbuds,2,"Amazing performance, highly recommend."
92,Portable Charger,2,"Five stars, very happy with this purchase."
93,Gaming Mouse,3,Good value for money.
94,Gaming Mouse,3,Battery life could be better.
95,Laptop Stand,2,"Average product, expected better."
96,Laptop Stand,5,Not satisfied with the build quality.
97,Fitness Tracker,2,Would not buy again.
98,Gaming Mouse,5,"Amazing performance, highly recommend."
99,Smartphone Case,3,Not satisfied with the build quality.
100,Fitness Tracker,2,Would not buy again.
101,Portable Charger,4,Not satisfied with the build quality.
102,Mechanical Keyboard,3,"Average product, expected better."
103,LED Monitor,5,Battery life could be better.
104,Bluetooth Speaker,5,"Five stars, very happy with this purchase."
105,Laptop Stand,2,Excellent quality and fast delivery.
106,Wireless Earbuds,2,Exceeded my expectations!
107,Mechanical Keyboard,4,"Average product, expected better."
108,Smartphone Case,2,Excellent quality and fast delivery.
109,Bluetooth Speaker,4,Would not buy again.
110,Smartphone Case,3,Exceeded my expectations!
111,Bluetooth Speaker,5,"Amazing performance, highly recommend."
112,Portable Charger,5,Works as advertised.
113,Laptop Stand,2,Works as advertised.
114,Bluetooth Speaker,5,"Average product, expected better."
115,Laptop Stand,3,Would not buy again.
116,Fitness Tracker,5,"Average product, expected better."
117,Bluetooth Speaker,3,"Five stars, very happy with this purchase."
118,LED Monitor,2,Would not buy again.
119,Smartwatch,1,Good value for money.
120,Gaming Mouse,3,Battery life could be better.
121,Fitness Tracker,5,"Average product, expected better."
122,Laptop Stand,4,Excellent quality and fast delivery.
123,Wireless Earbuds,5,Not satisfied with the build quality.
124,Fitness Tracker,3,Battery life could be better.
125,Laptop Stand,2,Battery life could be better.
126,LED Monitor,3,Works as advertised.
127,Portable Charger,2,"Five stars, very happy with this purchase."
128,Mechanical Keyboard,5,Exceeded my expectations!
129,Portable Charger,4,Good value for money.
130,Smartphone Case,3,"Average product, expected better."
131,Fitness Tracker,1,Works as advertised.
132,Smartphone Case,3,"Five stars, very happy with this purchase."
133,Wireless Earbuds,2,Not satisfied with the build quality.
134,Portable Charger,2,Excellent quality and fast delivery.
135,Smartphone Case,4,Good value for money.
136,Wireless Earbuds,4,"Average product, expected better."
137,Laptop Stand,4,"Amazing performance, highly recommend."
138,Smartphone Case,2,"Amazing performance, highly recommend."
139,Bluetooth Speaker,3,Exceeded my expectations!
140,Gaming Mouse,5,Exceeded my expectations!
141,Wireless Earbuds,2,Battery life could be better.
142,Laptop Stand,5,Not satisfied with the build quality.
143,Bluetooth Speaker,3,Would not buy again.
144,Laptop Stand,2,Works as advertised.
145,LED Monitor,5,Good value for money.
146,Wireless Earbuds,5,"Five stars, very happy with this purchase."
147,Portable Charger,1,Battery life could be better.
148,Wireless Earbuds,5,Works as advertised.
149,Bluetooth Speaker,4,"Average product, expected better."
150,Bluetooth Speaker,1,Battery life could be better.
151,Portable Charger,2,"Amazing performance, highly recommend."
152,LED Monitor,1,"Average product, expected better."
153,Mechanical Keyboard,4,"Amazing performance, highly recommend."
154,Smartwatch,3,Battery life could be better.
155,Laptop Stand,4,Good value for money.
156,Gaming Mouse,5,Not satisfied with the build quality.
157,Wireless Earbuds,1,Battery life could be better.
158,LED Monitor,4,"Amazing performance, highly recommend."
159,Gaming Mouse,5,Not satisfied with the build quality.
160,Bluetooth Speaker,2,"Amazing performance, highly recommend."
161,Smartphone Case,2,Battery life could be better.
162,Mechanical Keyboard,1,Not satisfied with the build quality.
163,Gaming Mouse,5,Works as advertised.
164,Gaming Mouse,3,"Five stars, very happy with this purchase."
165,Bluetooth Speaker,5,"Five stars, very happy with this purchase."
166,LED Monitor,1,"Five stars, very happy with this purchase."
167,Smartphone Case,4,"Average product, expected better."
168,Gaming Mouse,3,Good value for money.
169,Laptop Stand,3,"Five stars, very happy with this purchase."
170,Wireless Earbuds,2,Exceeded my expectations!
171,Portable Charger,5,Good value for money.
172,Smartwatch,5,"Average product, expected better."
173,Gaming Mouse,3,Would not buy again.
